"id";"product_id";"product_url";"very_happy";"happy";"satisfied";"indifferent";"disappointed";"time"
36;"";"https://www.amazon.com/Apple-MME73AM-A-AirPods-3rd-Generation/dp/B09JQL3NWT/ref=cm_cr_arp_d_product_top?ie=UTF8";281;29;0;0;0;"2022-03-25 17:54:10"
37;"";"https://www.amazon.com/Controller-Charger-Charging-Compatible-Playstaion/dp/B08J41DPFN/ref=cm_cr_arp_d_product_top?ie=UTF8";297;13;0;0;0;"2022-03-25 17:56:30"
38;"";"https://www.amazon.com/Andis-17150-Profoil-Lithium/dp/B00TOUU700/ref=cm_cr_arp_d_product_top?ie=UTF8";280;29;0;1;0;"2022-03-25 18:04:10"
39;"";"https://www.amazon.com/Electric-Razor-Men-Rechargeable-Waterproof/dp/B082GKSPN9/ref=cm_cr_arp_d_product_top?ie=UTF8";288;22;0;0;0;"2022-03-25 18:06:22"
40;"";"https://www.amazon.com/Panasonic-Electric-ES-LV65-S-Flexible-Pivoting/dp/B00JWP8F3I/ref=cm_cr_arp_d_product_top?ie=UTF8";290;20;0;0;0;"2022-03-25 18:08:02"
41;"";"https://www.amazon.com/Philips-Norelco-Shaver-S3311-85/dp/B083JCXPY1/ref=cm_cr_arp_d_product_top?ie=UTF8";287;22;0;1;0;"2022-03-25 18:47:34"
42;"";"https://www.amazon.com/Braun-Electric-8467cc-Precision-SmartCare/dp/B099T1XPBJ/ref=cm_cr_arp_d_product_top?ie=UTF8";285;25;0;0;0;"2022-03-25 18:50:29"
43;"";"https://www.amazon.com/Replacement-Philips-Electric-Shaver-Durable/dp/B07Z3CCR3Z/ref=cm_cr_arp_d_product_top?ie=UTF8";299;11;0;0;0;"2022-03-25 18:52:16"
44;"";"https://www.amazon.com/Braun-Electric-Rechargeable-Cordless-Shaver/dp/B01M31O317/ref=cm_cr_arp_d_product_top?ie=UTF8";285;25;0;0;0;"2022-03-25 19:21:02"
45;"";"https://www.amazon.com/Braun-8330s-Generation-Electric-Rechargeable/dp/B088TLC3Y1/ref=cm_cr_arp_d_product_top?ie=UTF8";287;23;0;0;0;"2022-03-25 19:24:36"
46;"";"https://www.amazon.com/Gillette-Refills-Razors-Blades-Packaging/dp/B0039LMTHE/ref=cm_cr_arp_d_product_top?ie=UTF8";291;19;0;0;0;"2022-03-25 19:26:18"
47;"";"https://www.amazon.com/Schick-Sensitive-Absorbent-Technology-Refills/dp/B07DCKCFN2/ref=cm_cr_arp_d_product_top?ie=UTF8";528;32;0;0;0;"2022-03-25 19:30:18"
48;"";"https://www.amazon.com/Braun-Electric-8417s-Precision-Trimmer/dp/B09B13SN46/ref=cm_cr_arp_d_product_top?ie=UTF8";546;14;0;0;0;"2022-03-25 19:32:28"
49;"";"https://www.amazon.com/Braun-92S-Cutter-Replacement-Compatible/dp/B01M29018Y/ref=cm_cr_arp_d_product_top?ie=UTF8";538;22;0;0;0;"2022-03-25 19:34:06"
50;"";"https://www.amazon.com/Braun-Electric-Precision-Rechargeable-Cordless/dp/B07XD5T8MN/ref=cm_cr_arp_d_product_top?ie=UTF8";513;24;0;0;0;"2022-03-25 19:36:48"
